iter	MultiClass
0	1.338677929
1	1.297611564
2	1.262661192
3	1.228453329
4	1.200994133
5	1.17528444
6	1.152754137
7	1.133892727
8	1.114908585
9	1.096784846
10	1.081300793
11	1.067714536
12	1.05158143
13	1.037862726
14	1.025270316
15	1.014871447
16	1.001890886
17	0.9931793043
18	0.9868998404
19	0.9769146345
20	0.9672142407
21	0.9608828229
22	0.9542566095
23	0.9469544231
24	0.9400630593
25	0.9338555057
26	0.9270824981
27	0.9229494214
28	0.9171785868
29	0.9125370547
30	0.9081438934
31	0.9039629651
32	0.8989593667
33	0.8956960726
34	0.892016741
35	0.8881442435
36	0.8850379005
37	0.8812756336
38	0.8788458377
39	0.8759448278
40	0.8736081132
41	0.8714865953
42	0.8690006033
43	0.8662057983
44	0.8635139945
45	0.8620858074
46	0.859481879
47	0.8572790337
48	0.854335352
49	0.8525392525
50	0.8506881462
51	0.8486034457
52	0.8470115057
53	0.844801784
54	0.8431964646
55	0.8418963563
56	0.8396771055
57	0.8379304292
58	0.8361482082
59	0.8344609714
60	0.8327103157
61	0.8318249967
62	0.8306948071
63	0.8297904922
64	0.8283087024
65	0.8270503459
66	0.825848428
67	0.8244056279
68	0.8229912827
