iter	Passed	Remaining
0	7	3588
1	21	5240
2	33	5590
3	46	5762
4	57	5659
5	69	5684
6	81	5734
7	91	5635
8	103	5640
9	116	5728
10	144	6408
11	159	6487
12	177	6658
13	194	6741
14	205	6653
15	216	6551
16	236	6709
17	248	6646
18	259	6573
19	272	6531
20	283	6460
21	293	6369
22	302	6281
23	313	6214
24	324	6172
25	336	6134
26	347	6088
27	359	6065
28	372	6054
29	383	6008
30	394	5962
31	404	5915
32	415	5878
33	426	5839
34	435	5792
35	446	5755
36	459	5750
37	471	5728
38	481	5694
39	492	5664
40	502	5621
41	513	5602
42	523	5565
43	535	5553
44	546	5525
45	556	5493
46	566	5464
47	579	5459
48	591	5443
49	602	5419
50	613	5401
51	623	5374
52	634	5351
53	647	5345
54	657	5321
55	667	5295
56	678	5273
57	689	5257
58	700	5238
59	713	5229
60	724	5216
61	735	5192
62	745	5170
63	755	5148
64	766	5129
65	779	5126
66	789	5101
67	799	5081
68	810	5061
