value,startDate
58,2026-01-08 14:26:52 -0500
56,2026-01-08 14:26:53 -0500
54,2026-01-08 14:26:54 -0500
51,2026-01-08 14:26:55 -0500
51,2026-01-08 14:26:56 -0500
51,2026-01-08 14:26:57 -0500
52,2026-01-08 14:26:58 -0500
52,2026-01-08 14:26:59 -0500
56,2026-01-08 14:27:00 -0500
56,2026-01-08 14:27:01 -0500
56,2026-01-08 14:27:02 -0500
65,2026-01-08 14:27:03 -0500
62,2026-01-08 14:27:04 -0500
62,2026-01-08 14:27:05 -0500
54,2026-01-08 14:27:06 -0500
50,2026-01-08 14:27:07 -0500
54,2026-01-08 14:27:08 -0500
53,2026-01-08 14:27:09 -0500
53,2026-01-08 14:27:10 -0500
53,2026-01-08 14:27:11 -0500
56,2026-01-08 14:27:12 -0500
56,2026-01-08 14:27:13 -0500
56,2026-01-08 14:27:14 -0500
57,2026-01-08 14:27:15 -0500
60,2026-01-08 14:27:16 -0500
60,2026-01-08 14:27:17 -0500
60,2026-01-08 14:27:18 -0500
65,2026-01-08 14:29:02 -0500
60,2026-01-08 14:29:07 -0500
58,2026-01-08 14:29:12 -0500
58,2026-01-08 14:29:17 -0500
57,2026-01-08 14:29:22 -0500
56,2026-01-08 14:29:26 -0500
58,2026-01-08 14:29:31 -0500
57,2026-01-08 14:29:37 -0500
57,2026-01-08 14:29:38 -0500
58,2026-01-08 14:29:43 -0500
55,2026-01-08 14:26:05 -0500
57,2026-01-08 14:32:00 -0500
56,2026-01-08 14:38:10 -0500
63.5192,2026-01-08 14:43:54 -0500
60,2026-01-08 14:44:41 -0500
61,2026-01-08 14:45:47 -0500
52,2026-01-08 14:54:46 -0500
54,2026-01-08 14:56:38 -0500
58,2026-01-08 15:01:16 -0500
58,2026-01-08 15:09:45 -0500
89,2026-01-08 15:15:59 -0500
58,2026-01-08 15:12:01 -0500
57,2026-01-08 15:18:35 -0500
57,2026-01-08 15:22:38 -0500
59,2026-01-08 15:29:41 -0500
66,2026-01-08 15:31:41 -0500
64,2026-01-08 15:39:32 -0500
67,2026-01-08 15:42:56 -0500
67,2026-01-08 15:48:50 -0500
65,2026-01-08 19:15:03 -0500
109,2026-01-08 19:25:16 -0500
73,2026-01-08 19:18:57 -0500
74,2026-01-08 19:28:17 -0500
76,2026-01-08 19:34:05 -0500
67,2026-01-08 19:36:12 -0500
70,2026-01-08 19:42:04 -0500
68,2026-01-08 19:49:42 -0500
73.9737,2026-01-08 19:50:18 -0500
75,2026-01-08 19:51:23 -0500
65,2026-01-08 19:59:44 -0500
66,2026-01-08 20:07:16 -0500
72,2026-01-08 20:14:24 -0500
76,2026-01-08 20:14:29 -0500
75,2026-01-08 20:14:33 -0500
68,2026-01-08 20:14:39 -0500
72,2026-01-08 20:15:07 -0500
67,2026-01-08 20:15:12 -0500
67,2026-01-08 20:15:17 -0500
67,2026-01-08 20:15:20 -0500
65,2026-01-08 20:15:27 -0500
65,2026-01-08 20:15:29 -0500
65,2026-01-08 20:15:33 -0500
70,2026-01-08 20:15:42 -0500
73,2026-01-08 20:15:47 -0500
73,2026-01-08 20:15:48 -0500
68,2026-01-08 20:14:45 -0500
62,2026-01-08 20:16:13 -0500
71,2026-01-08 20:24:43 -0500
72,2026-01-09 17:52:04 -0500
70.721,2026-01-09 17:54:03 -0500
70,2026-01-09 17:57:00 -0500
70,2026-01-09 18:00:05 -0500
74,2026-01-09 18:06:08 -0500
75,2026-01-09 18:10:27 -0500
71,2026-01-09 18:16:10 -0500
79,2026-01-09 18:22:49 -0500
75,2026-01-09 18:26:03 -0500
74,2026-01-09 18:32:05 -0500
75,2026-01-09 18:35:15 -0500
75,2026-01-09 18:44:18 -0500
73,2026-01-09 18:49:18 -0500
75,2026-01-09 18:54:48 -0500
76,2026-01-09 18:58:33 -0500
102,2026-01-09 19:03:35 -0500
79,2026-01-09 19:00:10 -0500
109,2026-01-09 19:07:26 -0500
87,2026-01-09 19:05:07 -0500
116,2026-01-09 19:12:53 -0500
113,2026-01-09 19:16:02 -0500
59,2026-01-09 19:10:30 -0500
84,2026-01-09 19:17:56 -0500
75,2026-01-09 19:24:07 -0500
71,2026-01-09 19:28:32 -0500
66,2026-01-09 19:31:23 -0500
69,2026-01-09 19:35:01 -0500
117,2026-01-09 19:45:44 -0500
71,2026-01-09 19:41:39 -0500
94,2026-01-09 19:52:16 -0500
88,2026-01-09 19:59:58 -0500
84,2026-01-09 20:03:02 -0500
66,2026-01-09 20:06:56 -0500
67,2026-01-09 20:10:05 -0500
78,2026-01-09 20:17:14 -0500
71,2026-01-09 20:21:24 -0500
83,2026-01-09 20:29:14 -0500
69,2026-01-09 20:31:06 -0500
85,2026-01-09 20:54:02 -0500
73,2026-01-09 20:38:20 -0500
90,2026-01-09 20:55:07 -0500
72,2026-01-09 21:00:53 -0500
75,2026-01-09 21:05:35 -0500
71,2026-01-09 21:11:29 -0500
89.4619,2026-01-09 21:18:35 -0500
93,2026-01-09 21:19:04 -0500
120,2026-01-09 21:23:17 -0500
101,2026-01-09 21:31:06 -0500
94,2026-01-09 21:20:54 -0500
76,2026-01-09 21:36:57 -0500
96,2026-01-09 21:59:29 -0500
75,2026-01-09 21:43:57 -0500
101,2026-01-09 22:05:04 -0500
65,2026-01-09 22:01:05 -0500
79,2026-01-09 22:09:14 -0500
75,2026-01-09 22:14:23 -0500
70,2026-01-09 22:17:59 -0500
66,2026-01-09 22:24:51 -0500
68,2026-01-09 22:26:21 -0500
48,2026-01-09 22:31:41 -0500
77,2026-01-09 22:35:56 -0500
102,2026-01-09 22:47:04 -0500
96,2026-01-09 22:41:46 -0500
63,2026-01-09 22:47:15 -0500
91,2026-01-09 22:50:36 -0500
76,2026-01-09 22:55:34 -0500
89,2026-01-09 23:04:56 -0500
80,2026-01-09 23:07:14 -0500
78,2026-01-09 23:10:56 -0500
81,2026-01-09 23:15:25 -0500
76,2026-01-09 23:21:50 -0500
105,2026-01-09 23:29:46 -0500
67,2026-01-09 23:33:51 -0500
64,2026-01-09 23:35:25 -0500
91,2026-01-09 23:44:00 -0500
82,2026-01-09 23:45:34 -0500
83,2026-01-09 23:50:38 -0500
83,2026-01-09 23:57:02 -0500
77,2026-01-10 00:03:58 -0500
104,2026-01-10 00:09:01 -0500
74,2026-01-10 00:09:54 -0500
104,2026-01-10 00:14:20 -0500
78,2026-01-10 00:12:01 -0500
103,2026-01-10 00:17:34 -0500
85,2026-01-10 00:15:03 -0500
75,2026-01-10 00:20:23 -0500
95,2026-01-10 00:29:12 -0500
79,2026-01-10 00:26:35 -0500
79,2026-01-10 00:30:21 -0500
80,2026-01-10 00:37:53 -0500
103,2026-01-10 00:42:45 -0500
106,2026-01-10 00:42:50 -0500
106,2026-01-10 00:42:51 -0500
97,2026-01-10 00:42:59 -0500
99,2026-01-10 00:43:01 -0500
102,2026-01-10 00:43:10 -0500
104,2026-01-10 00:43:12 -0500
115,2026-01-10 00:43:20 -0500
116,2026-01-10 00:44:30 -0500
116,2026-01-10 00:44:34 -0500
115,2026-01-10 00:44:40 -0500
114,2026-01-10 00:44:45 -0500
114,2026-01-10 00:44:46 -0500
109,2026-01-10 00:44:53 -0500
111,2026-01-10 00:44:56 -0500
113,2026-01-10 00:45:04 -0500
113,2026-01-10 00:45:07 -0500
109,2026-01-10 00:45:13 -0500
110,2026-01-10 00:45:20 -0500
82,2026-01-10 00:40:14 -0500
111,2026-01-10 00:45:21 -0500
113,2026-01-10 00:45:30 -0500
110,2026-01-10 00:45:35 -0500
111,2026-01-10 00:45:37 -0500
116,2026-01-10 00:45:42 -0500
114,2026-01-10 00:45:46 -0500
117,2026-01-10 00:45:51 -0500
115,2026-01-10 00:46:00 -0500
119,2026-01-10 00:50:13 -0500
112,2026-01-10 00:54:54 -0500
80,2026-01-10 00:52:12 -0500
75,2026-01-10 00:57:06 -0500
90,2026-01-10 01:00:08 -0500
83,2026-01-10 01:09:03 -0500
76.5563,2026-01-10 01:12:17 -0500
76,2026-01-10 01:13:07 -0500
73,2026-01-10 01:18:40 -0500
72,2026-01-10 01:21:01 -0500
86,2026-01-10 01:29:27 -0500
86,2026-01-10 01:41:33 -0500
57,2026-01-10 01:47:04 -0500
81,2026-01-10 02:01:21 -0500
91,2026-01-10 02:06:25 -0500
70,2026-01-10 02:14:17 -0500
69,2026-01-10 02:17:39 -0500
78,2026-01-10 02:29:56 -0500
105,2026-01-10 02:34:39 -0500
77,2026-01-10 02:31:16 -0500
68,2026-01-10 02:42:37 -0500
108,2026-01-10 02:54:59 -0500
69,2026-01-10 02:46:56 -0500
94,2026-01-10 02:56:24 -0500
52,2026-01-10 03:03:14 -0500
63,2026-01-10 03:07:22 -0500
64,2026-01-10 03:11:37 -0500
103,2026-01-10 09:15:17 -0500
80,2026-01-10 09:21:01 -0500
76,2026-01-10 09:25:24 -0500
80.5694,2026-01-10 09:32:23 -0500
77,2026-01-10 09:31:48 -0500
86,2026-01-10 09:38:39 -0500
84,2026-01-10 09:43:47 -0500
74,2026-01-10 09:54:32 -0500
125,2026-01-10 10:00:29 -0500
132,2026-01-10 10:02:50 -0500
100,2026-01-10 09:58:08 -0500
68,2026-01-10 10:07:56 -0500
121,2026-01-10 10:14:52 -0500
115,2026-01-10 10:17:38 -0500
96,2026-01-10 10:24:09 -0500
76,2026-01-10 10:27:51 -0500
72,2026-01-10 10:34:29 -0500
71,2026-01-10 10:38:02 -0500
72,2026-01-10 10:42:19 -0500
65,2026-01-10 10:47:51 -0500
63,2026-01-10 10:50:35 -0500
67,2026-01-10 10:56:26 -0500
81,2026-01-10 11:04:36 -0500
77,2026-01-10 11:05:58 -0500
62,2026-01-10 11:14:37 -0500
61,2026-01-10 11:19:00 -0500
62,2026-01-10 11:20:47 -0500
62,2026-01-10 11:26:36 -0500
64,2026-01-10 11:34:05 -0500
107,2026-01-10 11:40:04 -0500
87,2026-01-10 11:42:24 -0500
106,2026-01-10 11:45:09 -0500
64,2026-01-10 11:37:11 -0500
66,2026-01-10 11:48:29 -0500
80,2026-01-10 11:53:42 -0500
68,2026-01-10 11:59:47 -0500
